车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
福克斯 2017款 两厢 EcoBoost 180 自动精英型,"5.86, , ",9,2017年7月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
Ghibli 2017款 3.0T 标准版,"28.28, , ",4.2,2016年11月,0,自动,3,后驱,国V,3,中大型车,95,白色
凯迪拉克XT6 2022款 2.0T 六座四驱豪华型标准版,"31.88, , ",1,2023年2月,0,自动,2,四驱,国VI,2,中大型SUV,95,黑色
奔驰C级 2021款 C 260 L 运动星耀臻藏版,"20.28, , ",2.2,2020年12月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
奔驰C级 2020款 C 260 L 运动版,,9,2020年2月,0,自动,1.5,后驱,国VI,1.5,中型车,95,蓝色
", 奔驰A级 2022款 改款 A 200 L 运动轿车动感型","17.98, , ",1.6,2022年7月,,", ",", ",,", ",,,,
普拉多 2016款 2.7L 自动标准版,"25.80, , ",9,2015年11月,0,自动,2.7,四驱,国IV(国V),2.7,中大型SUV,92,白色
途锐 2017款 3.0TSI 拓界版,"22.80, , ",8,2017年10月,0,自动,3,四驱,国V,3,中大型SUV,95,黑色
长安欧尚科赛Pro 2021款 1.5T 自动豪华型 7座,"4.68, , ",2.8,2021年2月,0,自动,1.5,前驱,国VI,1.5,中型SUV,92,白色
MINI COUNTRYMAN 2020款 1.5T COOPER ALL4,"17.58, , ",3.2,2020年11月,1,自动,1.5,四驱,国VI,1.5,紧凑型SUV,95,银/灰色
揽胜 2020款 3.0 L6 传世加长版,"109.80, , ",6.5,2020年8月,0,自动,3,四驱,国VI,3,中大型SUV,95,蓝色
宝马5系 2018款 525Li M运动套装,"22.02, , ",12.2,2018年6月,0,自动,2,后驱,国V,2,中大型车,95,黑色
缤越 2022款 缤越COOL 1.5TD DCT激擎版,"6.89, , ",1.2,2022年3月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,白色
奔驰GLA 2019款 GLA 200 时尚型,"13.58, , ",8.4,2019年3月,0,自动,1.6,前驱,国VI,1.6,紧凑型SUV,95,蓝色
凌渡 2022款 凌渡L 280TSI DSG酷辣版,"11.38, , ",1,2022年10月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
吉利ICON 2023款 1.5TD 巧克力醇巧版,"6.88, , ",0.3,2022年7月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,银/灰色
普拉多 2016款 2.7L 自动标准版,"28.80, , ",9.2,2017年2月,0,自动,2.7,四驱,国IV(国V),2.7,中大型SUV,92,白色
探岳 2019款 330TSI 四驱豪华型 国VI,"13.38, , ",3,2020年3月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
奔驰E级 2023款 E 300 L 运动豪华型,"45.88, , ",1,2023年7月,0,自动,2,后驱,国VI,2,中大型车,95,白色
牧马人 2014款 3.0L Sahara 四门版,"15.60, , ",13.7,2014年7月,0,自动,3,四驱,国IV(国V),3,中型SUV,92,红/紫色
宝来 2018款 1.5L 自动舒适型,"5.68, , ",6,2017年12月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
奥迪Q5L 2020款 40 TFSI 荣享时尚型,"24.50, , ",8,2020年3月,1,自动,2,四驱,国VI,2,中型SUV,95,白色
星越L 2021款 2.0TD DCT EVO两驱舒适型,"8.86, , ",2.3,2022年1月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,白色
影豹 2021款 270T DCT J16版,"7.10, , ",3,2021年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
宝马3系 2017款 320Li 时尚型,"14.88, , ",7.5,2017年8月,0,自动,2,后驱,国V,2,中型车,95,白色
奥迪A4L 2019款 40 TFSI 进取型 国VI,"17.00, , ",9,2019年1月,0,自动,2,前驱,国VI,2,中型车,95,白色
宝马Z4 2019款 sDrive 25i M运动套装,"23.70, , ",4,2019年6月,0,自动,2,后驱,国VI,2,跑车,95,红/紫色
宝骏RC-6 2019款 1.5T 手动24小时在线精英型,"4.85, , ",8.7,2020年4月,0,手动,1.5,前驱,国VI,1.5,中型车,92,白色
哈弗大狗 2022款 2.0T DCT四驱哮天犬追猎版,"11.81, , ",2.1,2022年8月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黑色
奔驰V级 2020款 V 260 尊贵版,"38.80, , ",5.9,2021年6月,1,自动,2,后驱,国VI,2,,95,黑色
一汽-大众CC 2020款 330TSI 魅颜版 国VI,"14.68, , ",4.8,2020年5月,0,自动,2,前驱,国VI,2,中型车,95,白色
", 奔驰A级 2019款 A 180 L 运动轿车","11.79, , ",9,2019年7月,,", ",", ",,", ",,,,
哈弗F7x 2019款 2.0T 两驱极智潮玩版,"5.88, , ",3.6,2019年10月,0,自动,2,前驱,国VI,2,紧凑型SUV,92,白色
领克02 Hatchback 2021款 2.0TD Halo 驾控套件版,"13.20, , ",1,2022年3月,0,自动,2,前驱,国VI,2,紧凑型车,95,黄/橙色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"16.38, , ",11,2018年5月,0,自动,2,前驱,国V,2,中型车,95,白色
汉兰达 2018款 2.0T 四驱豪华版 7座 国VI,"19.30, , ",11,2020年4月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
星瑞 2023款 2.0TD 精英型,"6.99, , ",1.3,2022年6月,0,自动,2,前驱,国VI,2,紧凑型车,95,绿色
迈腾 2021款 330TSI DSG 30周年纪念版,"16.30, , ",2.3,2022年3月,0,自动,2,前驱,国VI,2,中型车,95,黑色
领克03 2022款 1.5TD DCT劲Pro,"8.55, , ",2.2,2021年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,黑色
君越 2021款 652T 豪华型,"12.68, , ",7,2020年12月,0,自动,2,前驱,国VI,2,中型车,95,蓝色
坦克300 2021款 越野版 2.0T 挑战者,"14.90, , ",2.8,2021年10月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黑色
奔驰C级 2022款 C 260 L 运动版,"23.58, , ",1.2,2021年12月,0,自动,1.5,后驱,国VI,1.5,中型车,95,银/灰色
迈腾 2019款 330TSI DSG 领先型 国VI,"12.88, , ",3.2,2020年1月,0,自动,2,前驱,国VI,2,中型车,95,黑色
捷豹F-PACE 2023款 P250 R-Dynamic BLACK,"31.80, , ",1.9,2023年1月,0,自动,2,四驱,国VI,2,中型SUV,95,银/灰色
捷豹XFL 2021款 XFL 2.0T P300 四驱旗舰运动版,"27.88, , ",0.8,2021年6月,0,自动,2,四驱,国VI,2,中大型车,95,绿色
宝马1系 2019款 118i M运动套装,"10.58, , ",8.81,2019年5月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
星迈罗 2022款 1.5T CVT RS蜂芒版,"9.88, , ",0.45,2022年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,蓝色
途乐 2018款 4.0L 领英型,"30.98, , ",9.6,2019年1月,0,自动,4,四驱,国V,4,大型SUV,95,白色
宝马1系 2021款 120i M运动曜夜版,"13.80, , ",3,2022年4月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
捷豹XFL 2020款 XFL 2.0T P200 两驱赛旗版,"18.90, , ",5,2020年12月,0,自动,2,后驱,国VI,2,中大型车,95,香槟/棕色
奥迪Q3 2021款 45 TFSI quattro 时尚动感型,"18.20, , ",3.8,2021年12月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,白色
荣威RX9 2023款 2.0T 四驱尊享版,"16.58, , ",0.2,2024年2月,0,自动,2,四驱,国VI,2,中型SUV,92,银/灰色
奥迪Q3 2021款 35 TFSI 时尚动感型,"17.88, , ",3.1,2021年2月,1,自动,1.4,前驱,国VI,1.4,紧凑型SUV,95,白色
红旗HQ9 2023款 2.0T 智联旗领版,"35.98, , ",2.6,2023年4月,0,自动,2,前驱,国VI,2,,95,黑色
MINI 2022款 2.0T COOPER S 经典派,"19.90, , ",1.9,2022年3月,0,自动,2,前驱,国VI,2,小型车,95,绿色
奔驰GLC 2019款 GLC 260 4MATIC 动感型,"24.60, , ",6,2018年12月,0,自动,2,四驱,欧V,2,中型SUV,95,白色
奥迪A8 2021款 A8L 50 TFSI quattro 舒适型,"53.88, , ",4,2021年6月,0,自动,3,四驱,国VI,3,大型车,95,黑色
奔驰E级 2021款 E 300 L 时尚型,"35.98, , ",6.1,2020年12月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
MINI COUNTRYMAN 2018款 1.5T COOPER ALL4 赛车手,"14.00, , ",6.3,2018年12月,2,自动,1.5,四驱,国V,1.5,紧凑型SUV,95,红/紫色
", 奔驰C级 2019款 改款 C 260 L 运动版","18.88, , ",11.6,2019年7月,,", ",", ",,", ",,,,
奥迪Q3 2021款 35 TFSI 时尚动感型,"17.88, , ",5,2021年1月,1,自动,1.4,前驱,国VI,1.4,紧凑型SUV,95,白色
英菲尼迪QX50 2018款 2.0T 两驱时尚版,"16.30, , ",4.1,2020年1月,1,自动,2,前驱,国VI,2,中型SUV,95,蓝色
迈腾 2019款 330TSI DSG 豪华型 国VI,"13.31, , ",5.9,2019年12月,0,自动,2,前驱,国VI,2,中型车,95,银/灰色
", 奔驰GLC 2019款 GLC 200 L 4MATIC","21.98, , ",6,2019年3月,,", ",", ",,", ",,,,
凯美瑞 2023款 2.0S 锋尚版,"15.80, , ",2.5,2023年6月,1,自动,2,前驱,国VI,2,中型车,92,白色
捷途旅行者 2023款 2.0T 四驱穿越PRO+,"13.80, , ",0.5,2023年10月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黑色
哈弗赤兔 2022款 劲享版 1.5T 紫铜兔,"7.98, , ",0.9,2022年9月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
MINI 2020款 1.5T COOPER 艺术家,"16.50, , ",2.2,2020年7月,0,自动,1.5,前驱,国VI,1.5,小型车,95,绿色
", 奔驰GLC 2019款 改款 GLC 300 L 4MATIC 豪华型","28.40, , ",5.7,2019年6月,,", ",", ",,", ",,,,
凯迪拉克XT6 2022款 2.0T 六座四驱豪华型标准版,"26.58, , ",1.1,2022年6月,0,自动,2,四驱,国VI,2,中大型SUV,95,黑色
", 宝马3系 2019款 320i M运动套装","15.38, , ",8.4,2019年1月,,", ",", ",,", ",,,,
揽胜极光 2022款 极光L 200PS R-Dynamic Standard 精英版,"20.38, , ",1.2,2023年1月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
长安CS75 PLUS 2022款 第二代 1.5T 自动领航型,"8.89, , ",1.2,2022年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
翼虎 2015款 1.5L GTDi 四驱精英型,"6.58, , ",12.6,2016年9月,0,自动,1.5,四驱,国V,1.5,紧凑型SUV,92,黑色
帝豪 2021款 UP 1.5L CVT舒适型,"4.88, , ",1,2022年9月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
奔驰C级(进口) 2018款 C 200 轿跑车,"21.98, , ",5.1,2019年7月,0,自动,2,后驱,欧V,2,中型车,95,白色
捷途X70 PLUS 2021款 1.6T DCT天 7座,"6.90, , ",2,2020年11月,0,自动,1.6,前驱,国VI,1.6,中型SUV,92,白色
朗逸 2013款 1.6L 手动风尚版,"2.80, , ",4.31,2013年3月,0,手动,1.6,前驱,国IV+OBD,1.6,紧凑型车,92,银/灰色
影豹 2021款 270T DCT J15版,"6.52, , ",2.4,2021年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
沃尔沃S60 2018款 S60L T4 智远版,"10.98, , ",7.5,2018年1月,0,自动,2,前驱,国V,2,中型车,95,香槟/棕色
星越L 2021款 2.0TD DCT EVO两驱舒适型,"9.01, , ",1.6,2021年2月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,银/灰色
豪越 2020款 1.8TD DCT旗舰型 5座,"8.98, , ",7.5,2021年1月,0,自动,1.8,前驱,国VI,1.8,中型SUV,92,白色
凯迪拉克CT6 2020款 28T 精英型,"20.18, , ",3.2,2020年11月,0,自动,2,后驱,国VI,2,中大型车,95,白色
奔驰C级 2019款 改款 C 260 L 运动版,"18.18, , ",6.5,2019年8月,0,自动,1.5,后驱,国VI,1.5,中型车,95,黑色
一汽-大众CC 2021款 380TSI 夺目版,"15.98, , ",3.1,2020年11月,0,自动,2,前驱,国VI,2,中型车,95,白色
奔驰A级 2021款 A 200 L 运动轿车时尚型,"16.98, , ",3.2,2021年10月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
奔驰C级 2021款 C 260 L 运动星耀臻藏版,"24.80, , ",3,2021年3月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
", 哈弗大狗 2022款 2.0T DCT四驱中华田园犬追猎版","12.88, , ",2.2,2023年1月,,", ",", ",,", ",,,,
Macan 2014款 Macan 2.0T,"19.80, , ",11,2014年9月,0,自动,2,四驱,欧V,2,中型SUV,95,白色
迈腾 2021款 330TSI DSG 30周年纪念版,"15.98, , ",1.3,2022年1月,0,自动,2,前驱,国VI,2,中型车,95,黑色
", 领克01 2021款 2.0TD 两驱耀Pro","12.28, , ",2.6,2021年7月,,", ",", ",,", ",,,,
奔驰S级 2021款 S 400 L 豪华型,"88.80, , ",1.8,2021年8月,0,自动,3,后驱,国VI,3,大型车,95,黑色
宝马3系 2017款 320Li M运动型,"15.68, , ",7.7,2017年3月,0,自动,2,后驱,国V,2,中型车,95,白色
吉利ICON 2020款 1.5TD i9 BSG,"6.68, , ",3.8,2020年2月,1,自动,1.5,前驱,国VI,1.5,小型SUV,92,银/灰色
宝马3系 2017款 320Li 时尚型,"14.00, , ",7,2017年8月,0,自动,2,后驱,国V,2,中型车,95,白色
宝马X5(进口) 2015款 xDrive28i,"23.40, , ",12,2015年12月,0,自动,2,四驱,欧VI,2,中大型SUV,95,黑色
宝马5系 2018款 530Li 领先型 M运动套装,"22.80, , ",6.7,2018年1月,0,自动,2,后驱,国V,2,中大型车,95,白色
宝马X1 2018款 xDrive20Li 豪华型,"14.50, , ",7,2018年5月,0,自动,2,四驱,国V,2,紧凑型SUV,95,白色
奔驰C级 2019款 改款 C 260 L 运动版,"17.80, , ",6.3,2019年6月,0,自动,1.5,后驱,国VI,1.5,中型车,95,银/灰色
", 沃兰多 2020款 轻混 Redline 530T 自动纵享版（5+2款）","7.98, , ",1.2,2023年7月,,", ",", ",,", ",,,,
雅阁 2018款 260TURBO 豪华版 国V,"11.98, , ",6,2019年9月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
长安CS75 PLUS 2023款 第三代 1.5T 自动尊贵型,"10.90, , ",0.5,2023年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
宝马4系 2016款 420i 时尚型,"15.68, , ",7.8,2017年5月,0,自动,2,后驱,国V,2,中型车,95,白色
帕萨特 2022款 330TSI 星空精英版,"14.98, , ",2,2022年7月,0,自动,2,前驱,国VI,2,中型车,95,蓝色
瑞虎7 2018款 FLY款 1.5T 手动劲享版 国VI,"4.38, , ",3.5,2019年6月,0,手动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
奔驰C级 2018款 C 200 L 运动版,"19.20, , ",5.9,2018年6月,0,自动,2,后驱,欧V,2,中型车,95,白色
君威 2019款 20T 精英型 国VI,"8.98, , ",8.34,2020年9月,0,自动,1.5,前驱,国VI,1.5,中型车,92,其它
宝马3系GT 2013款 328i 风尚设计套装,"11.40, , ",7.39,2014年7月,0,自动,2,后驱,欧IV,2,中型车,95,白色
凯迪拉克CT5 2020款 改款 28T 豪华型,"15.46, , ",2.9,2020年10月,0,自动,2,后驱,国VI,2,中型车,95,黑色
奥迪A4L 2017款 40 TFSI 时尚型,"15.00, , ",7,2017年8月,0,自动,2,前驱,国V,2,中型车,95,白色
奥迪A8 2021款 A8L 50 TFSI quattro 舒适型,"55.80, , ",5,2021年1月,0,自动,3,四驱,国VI,3,大型车,95,黑色
宝马X1 2018款 sDrive18Li 尊享型,"13.50, , ",8,2019年7月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,95,白色
奥迪A7 2021款 45 TFSI 臻选型,"37.58, , ",5,2020年11月,0,自动,2,前驱,国VI,2,中大型车,95,白色
凯迪拉克CT5 2021款 28T 豪华型,"16.41, , ",2.6,2021年5月,0,自动,2,后驱,国VI,2,中型车,95,黑色
博越 2023款 博越COOL 1.5TD 智慧型,"8.88, , ",0.7,2023年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,银/灰色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"16.98, , ",7,2018年5月,0,自动,2,前驱,国V,2,中型车,95,白色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"15.98, , ",8,2018年8月,0,自动,2,前驱,国V,2,中型车,95,白色
奔驰V级 2020款 V 260 尊贵版,"40.38, , ",5.5,2021年3月,0,自动,2,后驱,国VI,2,,95,黑色
别克GL8 2022款 陆上公务舱 652T 豪华型,"22.80, , ",1.4,2022年1月,0,自动,2,前驱,国VI,2,,95,白色
奔驰S级 2021款 S 400 L 商务型,"72.88, , ",8.5,2022年3月,0,自动,3,后驱,国VI,3,大型车,95,黑色
宝马3系 2020款 325Li M运动套装,"19.62, , ",3.7,2020年2月,0,自动,2,后驱,国VI,2,中型车,95,黑色
传祺M6 2021款 PRO 270T DCT尊贵版,"11.30, , ",2,2021年11月,0,自动,1.5,前驱,国VI,1.5,,92,蓝色
星越L 2021款 2.0TD 高功自动四驱旗舰型,"12.40, , ",1.9,2021年9月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,白色
Levante 2022款 2.0T GT锋芒版,"62.28, , ",1,2023年6月,0,自动,2,四驱,国VI,2,中大型SUV,95,蓝色
途昂 2019款 330TSI 两驱豪华版 国VI,"17.68, , ",3,2019年8月,0,自动,2,前驱,国VI,2,中大型SUV,95,黑色
迈腾 2021款 330TSI DSG 30周年纪念版,"15.99, , ",1.6,2022年6月,0,自动,2,前驱,国VI,2,中型车,95,黑色
宝马X1 2014款 sDrive18i 时尚型,"6.60, , ",14.1,2014年9月,0,自动,2,后驱,国IV(国V),2,紧凑型SUV,95,白色
凯美瑞 2023款 2.0S 骑士版,"16.20, , ",1.82,2023年10月,0,自动,2,前驱,国VI,2,中型车,92,白色
宝马X5(进口) 2014款 xDrive35i 领先型,"25.80, , ",11.7,2016年5月,0,自动,3,四驱,欧VI,3,中大型SUV,95,香槟/棕色
帕萨特 2020款 330TSI 精英版 国VI,"12.38, , ",7,2020年6月,0,自动,2,前驱,国VI,2,中型车,95,香槟/棕色
奔驰E级 2021款 改款 E 300 L 时尚型,"37.38, , ",8.9,2021年9月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
宝马1系 2020款 125i 领先型M运动套装,"11.88, , ",1.8,2020年9月,0,自动,2,前驱,国VI,2,紧凑型车,95,白色
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,"15.80, , ",11,2018年5月,0,自动,2,前驱,国V,2,中型车,95,白色
捷达VS7 2020款 1.4T 自动荣耀型,"9.68, , ",2.7,2021年3月,0,自动,1.4,前驱,国VI,1.4,中型SUV,95,蓝色
长安UNI-T 2022款 1.5T 卓越型,"6.82, , ",2.29,2021年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
奔驰C级 2019款 C 260 L 运动版,"18.98, , ",9.9,2019年3月,0,自动,1.5,后驱,国VI,1.5,中型车,95,红/紫色
奔驰C级 2022款 C 200 L 运动版,"23.88, , ",1,2022年9月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
宝马5系 2020款 530Li 尊享型 豪华套装,"29.88, , ",5,2020年5月,0,自动,2,后驱,国VI,2,中大型车,95,白色
奔驰C级 2019款 C 260 L 运动版,"19.58, , ",5.8,2018年11月,1,自动,1.5,后驱,国VI,1.5,中型车,95,蓝色
凌渡 2022款 凌渡L 280TSI DSG酷辣版,"12.28, , ",0.8,2023年1月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
", 轩逸 2022款 1.6L XL CVT悦享版","9.48, , ",2.8,2021年12月,,", ",", ",,", ",,,,
Giulia朱丽叶 2017款 2.0T 280HP 豪华版,"15.80, , ",6,2018年6月,0,自动,2,后驱,国V,2,中型车,92,白色
揽胜运动版 2014款 3.0 SC V6 HSE,"26.80, , ",17,2014年7月,4,自动,3,四驱,欧V,3,中大型SUV,95,黑色
", Panamera 2021款 Panamera 2.9T","89.80, , ",2.4,2021年3月,,", ",", ",,", ",,,,
锐际 2020款 EcoBoost 245 四驱嘉享款,"11.50, , ",8,2020年3月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,白色
撼路者 2017款 2.0T 汽油自动四驱豪华版 7座,"8.58, , ",7,2017年8月,0,自动,2,四驱,国V,2,中型SUV,92,香槟/棕色
奔驰C级 2022款 C 200 L 运动版,"23.28, , ",1.4,2022年5月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
朗逸 2023款 1.5L 自动星空五百万版,"9.88, , ",1.2,2022年9月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
风行T5 EVO 2021款 1.5TD DCT铂金版,"6.88, , ",3.5,2021年7月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
帕萨特 2023款 330TSI 星空精英版,"14.78, , ",1.5,2023年1月,0,自动,2,前驱,国VI,2,中型车,95,黑色
蒙迪欧 2022款 改款 EcoBoost 245 至尊型,"15.38, , ",1.3,2022年9月,0,自动,2,前驱,国VI,2,中型车,92,白色
Macan 2017款  Macan Turbo 3.6T,"34.90, , ",7,2017年10月,0,自动,3.6,四驱,欧V,3.6,中型SUV,95,黑色
宝马5系 2021款 530Li 领先型 M运动套装,"29.04, , ",3.2,2020年12月,0,自动,2,后驱,国VI,2,中大型车,95,白色
凌渡 2021款 280TSI DSG舒适版,"9.10, , ",4,2020年8月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,"26.80, , ",5,2020年8月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
宝马3系 2020款 325Li M运动套装,"20.88, , ",6.25,2019年11月,2,自动,2,后驱,国VI,2,中型车,95,白色
尚酷 2013款 1.4TSI GTS,"6.50, , ",8.8,2014年11月,0,自动,1.4,前驱,国IV(国V),1.4,跑车,95,红/紫色
奔驰E级 2019款 E 260 L 运动型,"25.68, , ",3.86,2019年5月,0,自动,1.5,后驱,国VI,1.5,中大型车,95,白色
", 卡罗拉 2023款 1.2T 精英版","9.38, , ",1.7,2023年1月,,", ",", ",,", ",,,,
长安CS35PLUS 2022款 蓝鲸NE 1.4T DCT豪华型,"5.96, , ",1.2,2022年5月,0,自动,1.4,前驱,国VI,1.4,小型SUV,92,白色
奔驰C级 2022款 C 200 L 运动版,"21.50, , ",2.6,2021年12月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
凯迪拉克CT4 2022款 28T 豪华型,"13.98, , ",1,2022年8月,0,自动,2,后驱,国VI,2,中型车,95,黑色
宝马3系 2020款 325i M运动套装,"21.00, , ",2.2,2021年7月,0,自动,2,后驱,国VI,2,中型车,95,白色
长安UNI-V 2023款 1.5T 运动版,"9.30, , ",0.5,2023年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
哈弗大狗 2021款 1.5T DCT两驱边牧版,"10.32, , ",2,2022年4月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,银/灰色
", 宝马7系 2021款 740Li 领先型 M运动套装","60.80, , ",3.7,2021年4月,,", ",", ",,", ",,,,
奔驰C级 2021款 C 200 L 动感型运动版,"22.89, , ",2.1,2021年12月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
红旗HS5 2023款 2.0T 旗悦Pro版,"14.26, , ",0.6,2023年8月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
奔驰C级 2022款 C 260 L,"25.60, , ",0.9,2022年6月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
帕萨特 2022款 330TSI 精英版,,1.2,2022年7月,0,自动,2,前驱,国VI,2,中型车,95,黑色
长安UNI-V 2022款 1.5T 卓越型,"6.42, , ",2,2022年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
福睿斯 2019款 改款 1.5L 自动质享型（胎压监测） 国VI,"4.68, , ",5,2020年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
红旗HS5 2019款 2.0T 智联旗享四驱版,"9.74, , ",3.7,2020年5月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
Macan 2014款 Macan 2.0T,"18.16, , ",15,2014年10月,0,自动,2,四驱,欧V,2,中型SUV,95,白色
宝马5系 2020款 530Li 领先型 M运动套装,"27.36, , ",3.9,2020年9月,0,自动,2,后驱,国VI,2,中大型车,95,白色
宝马3系 2023款 325Li M运动套装,"24.36, , ",0.8,2022年12月,0,自动,2,后驱,国VI,2,中型车,95,白色
揽胜星脉 2018款 P380 R-DYNAMIC S,"28.88, , ",2.5,2018年2月,1,自动,3,四驱,国V,3,中型SUV,95,银/灰色
宝马2系 2021款 225i 四门轿跑车 M运动曜夜套装Pro,"16.68, , ",2.88,2021年5月,0,自动,2,前驱,国VI,2,紧凑型车,95,白色
帕萨特 2019款 330TSI 豪华版 国VI,"11.38, , ",13.9,2020年6月,0,自动,2,前驱,国VI,2,中型车,95,黑色
长安欧尚Z6 2022款 蓝鲸 1.5T DCT智享型,"5.58, , ",1,2023年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
宝马3系 2021款 325Li M运动套装,"23.38, , ",4,2021年4月,0,自动,2,后驱,国VI,2,中型车,95,白色
", 宝马5系 2021款 530Li 尊享型 M运动套装","37.50, , ",4,2021年7月,,", ",", ",,", ",,,,
捷豹XEL 2020款 2.0T 200PS R-DYNAMIC S进取运动版,"15.68, , ",2.8,2020年2月,0,自动,2,后驱,国VI,2,中型车,95,黑色
宝马5系 2021款 530Li 领先型 M运动套装,"30.50, , ",6.6,2021年6月,0,自动,2,后驱,国VI,2,中大型车,95,白色
", 哈弗H6 2021款 1.5T 自动都市版","6.88, , ",5,2021年1月,,", ",", ",,", ",,,,
蒙迪欧 2023款 EcoBoost 245 豪华型,"15.28, , ",1,2023年10月,0,自动,2,前驱,国VI,2,中型车,92,黑色
", 哈弗H6 2019款 运动版 1.5T 自动两驱精英型 国VI","5.98, , ",4.9,2019年11月,,", ",", ",,", ",,,,
